date,TF,HF,OT
2022/9/12 21:10,0,0,0
2022/9/12 21:20,0,0,0
2022/9/12 21:30,0,0,0
2022/9/12 21:40,0,0,0
2022/9/12 21:50,0,0,0
2022/9/12 22:00,0,0,0
2022/9/12 22:10,0,0,0
2022/9/12 22:20,0,0,0
2022/9/12 22:30,0,0,0
2022/9/12 22:40,0,0,0
2022/9/12 22:50,0,0,0
2022/9/12 23:00,0,0,0
2022/9/12 23:10,0,0,0
2022/9/12 23:20,0,0,0
2022/9/12 23:30,0,0,0
2022/9/12 23:40,0,0,0
2022/9/12 23:50,0,0,0
2022/9/13 0:00,0,0,0
2022/9/13 0:10,0,0,0
2022/9/13 0:20,0,0,0
2022/9/13 0:30,0,0,0
2022/9/13 0:40,0,0,0
2022/9/13 0:50,0,0,0
2022/9/13 1:00,0,0,0
2022/9/13 1:10,0,0,0
2022/9/13 1:20,0,0,0
2022/9/13 1:30,0,0,0
2022/9/13 1:40,0,0,0
2022/9/13 1:50,0,0,0
2022/9/13 2:00,0,0,0
2022/9/13 2:10,0,0,0
2022/9/13 2:20,0,0,0
2022/9/13 2:30,0,0,0
2022/9/13 2:40,0,0,0
2022/9/13 2:50,0,0,0
2022/9/13 3:00,0,0,0
2022/9/13 3:10,0,0,0
2022/9/13 3:20,0,0,0
2022/9/13 3:30,0,0,0
2022/9/13 3:40,0,0,0
2022/9/13 3:50,0,0,0
2022/9/13 4:00,0,0,0
2022/9/13 4:10,0,0,0
2022/9/13 4:20,0,0,0
2022/9/13 4:30,0,0,0
2022/9/13 4:40,0,0,0
2022/9/13 4:50,0,0,0
2022/9/13 5:00,0,0,0
2022/9/13 5:10,0,0,0
2022/9/13 5:20,0,0,0
2022/9/13 5:30,0,0,0
2022/9/13 5:40,0,0,0
2022/9/13 5:50,0,0,0
2022/9/13 6:00,0,0,0
2022/9/13 6:10,0,0,0
2022/9/13 6:20,0,0,0
2022/9/13 6:30,0,0,0
2022/9/13 6:40,0,0,0
2022/9/13 6:50,0,0,0
2022/9/13 7:00,0,0,0
2022/9/13 7:10,0,0,0
2022/9/13 7:20,0,0,0
2022/9/13 7:30,0,0,0
2022/9/13 7:40,0,0,0
2022/9/13 7:50,0,0,0
2022/9/13 8:00,31.03434167,46.60451667,4.879545595
2022/9/13 8:10,30.9384,46.95811667,5.005109407
